date,BlockBreak,BlockPlace,Kicks,KilledBy,Logins,Death,Chat,CraftedItems
40321000,474,217,43,325,368,85,181,512
40322000,232,109,7,34,85,25,43,65
40323000,157,79,1,14,32,16,20,16
40324000,97,57,2,3,13,18,7,7
40325000,588,307,15,197,267,71,185,288
40326000,58,35,1,,6,4,5,
40327000,36,22,,,2,6,,
40328000,30,22,1,,2,6,4,
40329000,26,13,,,1,4,2,
40330000,245,150,1,32,74,20,30,37
40331000,16,7,,,1,,,
40332000,21,3,,,,1,,
40333000,11,6,,,,1,,
40334000,3,4,,,,2,,
40335000,142,58,1,9,20,9,11,7
40336000,9,1,,,,,1,
40337000,8,3,,,,2,,
40338000,7,5,,,,,,
40339000,2,1,,,,,,
40340000,73,46,,2,8,10,6,4
40341000,5,3,,,,1,,
40342000,3,,,,,,,
40343000,,,,,,,,
40344000,,4,,,,,,
40345000,41,25,,1,4,4,4,1
40346000,3,1,,,,,,
40347000,4,,,,,,,
40348000,3,,,,,,,
40349000,,,,,,,,
40350000,30,17,,1,2,6,2,
40351000,,,,,,,,
40352000,,,,,,,,
40353000,,,,,,,,
40354000,,1,,,,,,
40355000,15,8,,,2,3,3,
40356000,,,,,,,,
40357000,1,,,,,,,
40358000,,,,,,,,
40359000,,,,,,,,
40360000,11,12,,1,,4,,
40361000,1,,,,,,,
40362000,1,,,,,,,
40363000,1,,,,,,,
40364000,1,1,,,,,,
40365000,7,3,,,,2,,
40366000,,,,,,,,
40367000,,,,,,,,
40368000,,,,,,,,
40369000,,,,,,,,
40370000,6,4,,,,1,,
40371000,,,,,,,,
40372000,,,,,,,,
40373000,,,,,,,,
40374000,,,,,,,,
40375000,3,2,,,,,,
40376000,,,,,,,,
40377000,,,,,,,,
40378000,,,,,,,,
40379000,,,,,,,,
40380000,2,,,,,,,
40381000,381,178,29,211,296,70,206,380
40382000,167,79,8,31,77,30,47,49
40383000,97,40,,10,25,20,11,9
40384000,64,35,,1,11,8,10,2
40385000,484,257,16,172,285,53,154,209
40386000,29,18,,,2,2,2,1
40387000,31,11,1,1,3,4,3,1
40388000,22,11,1,,2,4,1,1
40389000,26,15,,,,1,1,
40390000,187,106,2,19,55,24,25,22
40391000,12,9,,,,2,2,
40392000,5,5,,,1,,1,
40393000,15,4,,,,1,1,
40394000,7,2,,,,,,
40395000,106,55,,2,15,13,8,4
40396000,6,3,,,,1,,
40397000,3,1,,,,1,,
40398000,3,2,,,,,,
40399000,1,4,,,,,,
40400000,55,34,,1,4,5,8,1
40401000,4,3,,,,,,
40402000,4,1,,,,,,
40403000,5,,,,,,,
40404000,1,,,,,,,
40405000,31,29,,,,3,4,2
40406000,1,2,,,,,,
40407000,5,1,,,,,,
40408000,2,,,,,,,
40409000,,1,,,,,,
40410000,35,18,,,,4,2,1
40411000,,1,,,,,,
40412000,2,,,,,,,
40413000,1,1,,,,,,
40414000,,1,,,,,,
40415000,16,12,,,2,1,,
40416000,2,1,,,,,,
40417000,,,,,,,,
40418000,1,,,,,,,
40419000,,,,,,,,
40420000,15,8,,,,2,1,
40421000,,,,,,,,
40422000,,1,,,,,,
40423000,,,,,,,,
40424000,,1,,,,,,
40425000,5,3,,,,1,,
40426000,,1,,,,,,
40427000,,,,,,,,
40428000,,,,,,,,
40429000,,,,,,,,
40430000,5,4,,,,1,,
40431000,,,,,,,,
40432000,,,,,,,,
40433000,,,,,,,,
40434000,,,,,,,,
40435000,1,1,,,,,,
40436000,,,,,,,,
40437000,,,,,,,,
40438000,,,,,,,,
40439000,,,,,,,,
40440000,,,,,,,,
40441000,383,173,27,194,245,59,112,291
40442000,164,82,6,30,47,26,35,46
40443000,108,43,1,12,12,8,10,8
40444000,46,28,1,4,6,11,5,7
40445000,409,249,13,76,222,50,123,204
40446000,29,18,,1,3,5,1,
40447000,28,12,,,1,2,1,
40448000,26,15,,,1,4,1,2
40449000,16,16,,,,3,3,
40450000,198,108,2,6,61,4,23,19
40451000,14,6,,,,2,,
40452000,7,5,,,,,,
40453000,5,6,,1,1,1,,
40454000,7,4,,,,,1,
40455000,74,52,,2,13,4,9,7
40456000,,3,,,,2,,
40457000,6,2,,,,1,,
40458000,,2,,,,1,,
40459000,1,3,,,,,,
40460000,60,28,,2,7,,3,2
40461000,4,1,,,,,,
40462000,,2,,,,,,
40463000,,,,,,,,
40464000,2,,,,,,,
40465000,29,18,,,3,2,1,
40466000,,1,,,,,,
40467000,1,,,,,,,
40468000,2,,,,,,,
40469000,1,1,,,,,,
40470000,24,16,,,1,3,1,
40471000,,,,,,,,
40472000,,,,,,,,
40473000,1,,,,,,,
40474000,1,,,,,,,
40475000,15,15,,,,3,,
40476000,,,,,,,,
40477000,1,,,,,,,
40478000,,,,,,,,
40479000,,,,,,,,
40480000,8,10,,,,,,
40481000,,,,,,,,
40482000,,,,,,,,
40483000,,,,,,,,
40484000,,,,,,,,
40485000,11,7,,,,1,,
40486000,,,,,,,,
40487000,,,,,,,,
40488000,,,,,,,,
40489000,,1,,,,,,
40490000,6,3,,,,,,
40491000,,,,,,,,
40492000,,,,,,,,
40493000,,,,,,,,
40494000,,,,,,,,
40495000,5,3,,,,,,
40496000,,,,,,,,
40497000,,,,,,,,
40498000,,,,,,,,
40499000,,,,,,,,
40500000,2,,,,,,,
40501000,268,134,19,84,194,42,106,234
40502000,117,61,3,14,46,10,32,28
40503000,76,42,,2,12,11,11,6
40504000,48,25,,1,5,6,7,5
40505000,197,129,3,26,86,26,45,71
